czas,ax,ay,az,przyspieszenie
0.0,14234,-920,16993,22185.923577800408
0.00015001500150015003,17294,-834,17090,24327.887125683563
0.00030003000300030005,17294,-834,17090,24327.887125683563
0.00045004500450045,19784,-878,17190,26223.532180085887
0.0006000600060006001,19784,-878,17190,26223.532180085887
0.00075007500750075,21144,-836,17226,27285.576922616096
0.0009000900090009,22348,-850,17244,28240.239729860652
0.00105010501050105,23398,-815,17259,29086.14292064178
0.0012001200120012002,24618,-686,17286,30088.574509271788
0.0013501350135013501,25780,-638,17311,31059.397370200215
0.0015001500150015,26464,-660,17307,31627.69585347627
0.0016501650165016502,27107,-609,17290,32157.49414988674
0.0018001800180018,28098,-525,17335,33019.31940546322
0.0019501950195019502,29008,-460,17426,33842.889061071604
0.0021002100210021,29601,-410,17451,34364.58499676666
0.0022502250225022503,30218,-346,17427,34884.77560483943
0.0024002400240024004,30893,-254,17428,35470.79290063869
0.00255025502550255,31334,-152,17440,35860.79000802966
0.0027002700270027003,31742,-36,17468,36231.02101790674
0.0028502850285028504,32346,94,17512,36782.36936359592
0.003000300030003,32764,213,17535,37161.825708648925
0.0031503150315031502,32764,339,17522,37156.62930083944
0.0033003300330033004,32764,589,17496,37147.498341072715
0.0034503450345034505,32764,956,17487,37150.89233114058
0.0036003600360036,32764,1300,17481,37158.51257787373
0.0037503750375037503,32764,1660,17465,37165.32686523825
0.0039003900390039005,32764,2046,17465,37184.567188552835
0.004050405040504051,32764,2406,17463,37205.17304085549
0.0042004200420042,32764,2406,17463,37205.17304085549
0.00435043504350435,32764,3092,17466,37257.23172754519
0.004500450045004501,32764,3092,17466,37257.23172754519
0.00465046504650465,32520,3410,17432,37054.73146576561
0.004800480048004801,31809,3460,17363,36404.09111624681
0.0049504950495049506,31107,3512,17316,35774.620179674865
0.0051005100510051,30224,3455,17270,34981.13921815583
0.005250525052505251,29251,3346,17228,34111.88504026126
0.0054005400540054005,28407,3158,17232,33374.72751948696
0.00555055505550555,28407,3158,17232,33374.72751948696
0.005700570057005701,26090,2420,17139,31309.580338931406
0.0058505850585058505,26090,2420,17139,31309.580338931406
0.006000600060006,23856,1876,17087,29403.973898097516
0.006150615061506151,23856,1876,17087,29403.973898097516
0.0063006300630063005,21230,1208,17035,27246.346342216235
0.006450645064506451,21230,1208,17035,27246.346342216235
0.006600660066006601,18424,638,16957,25047.767744851037
0.0067506750675067504,18424,638,16957,25047.767744851037
0.006900690069006901,15689,292,16888,23052.863791728785
0.007050705070507051,15689,292,16888,23052.863791728785
0.0072007200720072,14088,102,16814,21936.10594431017
0.007350735073507351,12609,-103,16761,20974.475225854876
0.007500750075007501,11170,-222,16733,20119.927261299927
0.00765076507650765,9602,-318,16680,19248.946152971595
0.007800780078007801,8086,-426,16622,18489.341686496035
0.00795079507950795,6649,-508,16595,17884.6663373964
0.008100810081008101,5094,-573,16576,17350.531432783264
0.00825082508250825,3529,-611,16539,16922.342716066236
0.0084008400840084,2074,-588,16493,16633.287979230085
0.008550855085508551,594,-585,16432,16453.136023263163
0.0087008700870087,-916,-637,16367,16404.984425472645
0.00885088508850885,-2336,-640,16314,16492.819407245082
0.009000900090009001,-3727,-628,16268,16701.279501882484
0.009150915091509152,-5195,-652,16232,17055.525585569038
0.0093009300930093,-6716,-662,16188,17538.364918087434
0.009450945094509451,-8154,-656,16120,18076.848508520507
0.009600960096009602,-9479,-669,16058,18659.00227772107
0.00975097509750975,-10934,-704,16000,19391.956373713303
0.009900990099009901,-12432,-677,15938,20224.559253541225
0.010051005100510052,-13658,-593,15902,20970.603639380533
0.0102010201020102,-14859,-570,15895,21766.16194922752
0.010351035103510351,-16342,-650,15835,22764.680735736227
0.010501050105010502,-17820,-731,15726,23778.011628393153
0.01065106510651065,-19038,-762,15668,24668.042322000343
0.010801080108010801,-20265,-770,15675,25631.401639395375
0.010951095109510952,-21534,-771,15685,26651.95718891954
0.0111011101110111,-22622,-828,15669,27531.037557636653
0.011251125112511251,-23832,-933,15616,28507.79137358768
0.011401140114011402,-25258,-998,15549,29677.16241489405
0.01155115511551155,-26312,-1041,15528,30569.982155703
0.011701170117011701,-26991,-1090,15539,31163.483470241255
0.011851185118511852,-28022,-1141,15511,32048.798511020657
0.012001200120012,-29252,-1224,15469,33112.95276776144
0.012151215121512151,-29891,-1268,15491,33690.51477790151
0.012301230123012302,-29891,-1268,15491,33690.51477790151
0.012451245124512452,-31246,-1267,15533,34916.92847316327
0.012601260126012601,-31246,-1267,15533,34916.92847316327
0.012751275127512752,-32555,-1312,15466,36065.86370794411
0.012901290129012902,-32555,-1312,15466,36065.86370794411
0.013051305130513051,-32764,-1351,15516,36277.41932662796
0.013201320132013201,-32764,-1351,15516,36277.41932662796
0.013351335133513352,-32764,-1356,15508,36274.184980506456
0.013501350135013501,-32764,-1356,15508,36274.184980506456
0.013651365136513651,-32764,-1334,15523,36279.78474302184
0.013801380138013802,-32764,-1334,15523,36279.78474302184
0.01395139513951395,-32764,-1323,15525,36280.23773350996
0.014101410141014101,-32764,-1273,15533,36281.87307733712
0.014251425142514252,-32764,-1244,15554,36289.86288207769
0.0144014401440144,-32764,-1256,15565,36294.992175229905
0.014551455145514551,-32764,-1204,15560,36291.08584762931
0.014701470147014702,-31670,-1135,15621,35331.18687505417
0.01485148514851485,-31670,-1135,15621,35331.18687505417
0.015001500150015001,-29931,-1048,15801,33861.994418521776
0.015151515151515152,-29931,-1048,15801,33861.994418521776
0.0153015301530153,-28808,-1026,15812,32878.152077025254
0.015451545154515451,-28808,-1026,15770,32857.973765891285
0.015601560156015602,-27925,-924,15774,32085.487015159986
0.01575157515751575,-26829,-775,15831,31161.13648440955
0.0159015901590159,-25552,-632,15892,30097.50474707164
0.016051605160516052,-24157,-536,15946,28950.351655895305
0.016201620162016202,-23060,-474,15988,28064.29083372676
0.016351635163516353,-22376,-409,15970,27493.518454355748
0.0165016501650165,-21451,-312,15923,26716.74894144121
0.01665166516651665,-19803,-194,15957,25432.701272181057
0.0168016801680168,-17831,-90,16062,23998.76048882525
0.016951695169516952,-16222,-62,16147,22888.484812236915
0.017101710171017102,-15108,-63,16162,22123.87572284748
0.017251725172517253,-14049,-58,16112,21376.957430841274
0.0174017401740174,-12506,-86,16099,20385.907706060087
0.01755175517551755,-10551,62,16186,19321.336418581403
0.0177017701770177,-8769,221,16318,18526.233454212976
0.017851785178517852,-7200,38,16432,17940.236007366235
0.018001800180018002,-5532,-181,16516,17418.784142413613
0.018151815181518153,-3836,-243,16577,17016.782128240346
0.018301830183018303,-2280,-328,16612,16770.942966929437
0.01845184518451845,-852,-450,16602,16629.937101504624
0.0186018601860186,570,-578,16584,16603.85617861104
0.01875187518751875,570,-578,16584,16603.85617861104
0.018901890189018902,3771,-676,16695,17128.935810493305
0.019051905190519053,3771,-676,16695,17128.935810493305
0.019201920192019203,6737,-794,16849,18163.32585183672
0.01935193519351935,6737,-794,16849,18163.32585183672
